"Order","Segment","Latitude","Longitude","Name","Address","Characters","Spots","Notes","GoogleMapsUrl"
"01","1","35.66035","139.70245","【01｜S1｜パリストン/ジン】S-22〜23","東京都渋谷区渋谷1丁目24-4","パリストン / ジン","SHIBUYA POSTER JACKS-22〜23","ハチ公口から宮下公園方面へ最初に回収","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.66035,139.70245"
"02","1","35.66185","139.70045","【02｜S1｜クラピカ/レオリオ】タワレコ","東京都渋谷区神南1丁目22-14","クラピカ / レオリオ","タワーレコード渋谷店 正面ツインボード","神南側の大きな目印","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.66185,139.70045"
"03","1","35.66115","139.69980","【03｜S1｜マチ/フランクリン/シズク】S-1〜3","東京都渋谷区神南1丁目20-6","マチ / フランクリン / シズク","SHIBUYA POSTER JACK S-1 / S-2 / S-3","同一住所で3スポット回収","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.66115,139.69980"
"04","1","35.66350","139.69935","【04｜S1｜GI/レイザー】S-17〜18","東京都渋谷区神南1丁目13-14","イータ/エレナ/ドゥーン/リスト / レイザー","SHIBUYA POSTER JACK S-17 / S-18","神南の北端。先に潰してから宇田川町へ","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.66350,139.69935"
"05","1","35.66215","139.69705","【05｜S1｜ゴレイヌ/カイト】宇田川町ビルディング","東京都渋谷区宇田川町14-13","ゴレイヌ / カイト","宇田川町ビルディング","神南から宇田川町へ入る接続点","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.66215,139.69705"
"06","1","35.66180","139.69692","【06｜S1｜ボマー】ヒューリック南ビル","東京都渋谷区宇田川町36-4","爆弾魔（ボマー）","ヒューリック南ビル","SANWAビルと隣接","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.66180,139.69692"
"07","1","35.66172","139.69718","【07｜S1｜フィンクス】SANWAビル","東京都渋谷区宇田川町36-1","フィンクス","SANWAビル","ヒューリック南ビルとセット","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.66172,139.69718"
"08","1","35.66120","139.69820","【08｜S1｜オロソ/陰獣/ズシ&ウィング】udanowa","東京都渋谷区宇田川町32-15","オロソ兄妹 / 陰獣 / ズシ&ウィング","udanowa","複数キャラ回収","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.66120,139.69820"
"09","1","35.66105","139.69872","【09｜S1｜メルエム&コムギ/ヒソカ】渋谷BEAM","東京都渋谷区宇田川町31-2","メルエム&コムギ / ヒソカ","渋谷BEAM","Segment 1の終点","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.66105,139.69872"
"10","2","35.66076","139.69856","【10｜S2｜センリツ】カラオケ館 渋谷店","東京都渋谷区宇田川町30-8","センリツ","カラオケ館 渋谷店","ここからセンター街密集地帯","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.66076,139.69856"
"11","2","35.66052","139.69848","【11｜S2｜カルト】渋谷ソシアルビル","東京都渋谷区宇田川町29-2","カルト","渋谷ソシアルビル","MEGAドンキ周辺","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.66052,139.69848"
"12","2","35.66044","139.69800","【12｜S2｜フェイタン】サンマルジェビル","東京都渋谷区宇田川町28-15","フェイタン","サンマルジェビル","MEGAドンキ周辺","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.66044,139.69800"
"13","2","35.66048","139.69770","【13｜S2｜モラウ】MEGAドンキ水槽","東京都渋谷区宇田川町28-6","モラウ","MEGAドン・キホーテ 渋谷本店（水槽）","水槽側を確認","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.66048,139.69770"
"14","2","35.65988","139.69902","【14｜S2｜ゴトー】カラオケ館 渋谷本店","東京都渋谷区宇田川町25-6","ゴトー","カラオケ館 渋谷本店","YYボード方面へ下る","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.65988,139.69902"
"15","2","35.65978","139.69918","【15｜S2｜兵器ブリオン】プリンスビル","東京都渋谷区宇田川町25-3","兵器ブリオン","プリンスビル","カラオケ館本店近く","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.65978,139.69918"
"16","2","35.65956","139.69940","【16｜S2｜ゴン】センター街 YYボード","東京都渋谷区宇田川町24-10","ゴン","渋谷センター街 YYボード","公式個別カード住所","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.65956,139.69940"
"17","2","35.65964","139.69962","【17｜S2｜ビスケ】コースト渋谷ビル","東京都渋谷区宇田川町24-2","ビスケ","コースト渋谷ビル","FPGリンクスの前に回収","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.65964,139.69962"
"18","2","35.65910","139.69930","【18｜S2｜キルア/ゴン】FPGリンクス道玄坂","東京都渋谷区宇田川町23-5","キルア / ゴン","FPGリンクス渋谷道玄坂","Segment 2の終点","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.65910,139.69930"
"19","3","35.65952","139.69654","【19｜S3｜イルミ/手刀の人/ポックル/ビーンズ】道玄坂通","東京都渋谷区道玄坂2-25-12","イルミ / クロロの手刀を見逃さなかった人 / ポックル&ポンズ / ビーンズ","道玄坂通","道玄坂奥へ向かう入口","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.65952,139.69654"
"20","3","35.65784","139.69542","【20｜S3｜ゼノ&シルバ】ムルギー","東京都渋谷区道玄坂2丁目19-2","ゼノ&シルバ","ムルギー","坂の奥側","https://www.google.com/maps/dir/?api=1&travelmode=walking&destination=35.65784,139.69542"
